Product_ID,Product_Name,Category,Price,Stock,Rating
101,Laptop,Electronics,25000,15,4.6
102,Phone,Electronics,18000,30,4.3
103,Tablet,Electronics,,20,4.7
104,Monitor,Electronics,8500,,4.1
105,Keyboard,Accessories,1200,50,3.9
106,Mouse,Accessories,650,80,4.4
107,Printer,Office,5500,12,3.6
108,Headset,Accessories,,35,4.8
109,Webcam,Accessories,2200,25,4.5
110,Speaker,Electronics,3000,40,4.0
111,Smartwatch,Electronics,7500,18,4.6
112,USB Cable,Accessories,300,100,3.8
113,External SSD,Storage,6500,22,4.7
114,Power Bank,Accessories,1500,60,4.2
115,Office Chair,Furniture,4500,10,4.1
115,Office Chair,Furniture,4500,10,4.1
